#Language,ENGLISH
#Location,en
#Image,en
None,None
Test,Test

#Human,Human
#Elf,Elf
#Dwarf,Dwarf
#Neko,Neko
#Inu,Inu
#Usagi,Usagi
#Hitsuji,Hitsuji
#Dragonian,Dragonian
#Furry,Furry
#SmallFurry,Small Furry
#Goblin,Goblin
#Orc,Orc
#Werewolf,Werewolf
#Minotaur,Minotaur
#Salamander,Salamander
#Client,Client

#Monster,Monster
#Slave,Slave
#Room,Room
#Consumable,Consumable

// Room
#BreedingRoom,Breeding Room
#FemaleSlaveCage,Slave Cage
#SlaveCage,Slave Cage
#Altar,Altar
#Blacksmith,Blacksmith
#Laboratory,Laboratory
#Library,Library
#Market,Market
#Mercenary,Mercenary
#Warehouse,Warehouse
#Morgue,Morgue
#DrawingRoom,Drawing Room
#DeliveryRoom,Delivery Room
#FrontDoor,Front Door
#BackDoor,Back Door
#MonsterCage,Monster Cage
#GloryHole,Glory Hole
#WaitingPlace,Waiting Place
#RationDistribution,Automatic Ration Distribution
#ShowerRoom,Shower Room
#ShowerRoom2,Shower Room
#Bathroom,Bathroom
#AutomaticDeliveryRoom,Automatic Delivery Room
#MilkingRoom,Milking Room
#AutomaticMilkingRoom,Automatic Milking Room
#Carriage,Carriage
#ShowerRoomGround,Shower Room
#BathroomGround,Automatic Bathroom
#KokiRoom,Paizuri Room
#Stall,Bestiality Show
#BirthShowRoom,Birth Show
#VipRoom,VIP Room
#VvipRoom,VVIP Room
#BreedingRoom2,Big Breeding Room
#MonsterCage2,Big Monster Cage

// Room Information
#BreedingRoomText,Facility for breeding monsters and slaves.
#SlaveCageText,Female Slave cage, can accommodate up to 5 slaves.
#MonsterCageText,Monster cage, can accommodate up to 5 monsters.
#BackDoorText,A dangerous deal is being struck.
#DeliveryRoomText,Place for pregnant slaves to give birth.
#MorgueText,Bodies placed inside remain sealed.
#CarriageText,Place to sell slaves or monsters.
#GrowthCapsuleText,Device used to correct the appearance of a slave.<BR>One part of the slave's appearance can be randomly changed.
#AppearanceCapsuleText,Device used to correct the appearance of a monster.<BR>One part of the monster's appearance can be randomly changed.
#RationDistributionText,Automatic food distribution facility.
#ShowerRoomText,Shower room for cleanness restoration.
#BathroomText,Facility to automatically restore cleanliness.
#AutomaticDeliveryRoomText,Facility for slaves to automatically give birth.
#MilkingRoomText,Facility for milking.
#AutomaticMilkingRoomText,Facility that milks and automatically distributes milk.
#ServiceRoomText,Place for titfucks.<BR>Usage fee depends on race <sprite index=1> +30.

// Menu
#Menu,MENU
#Start,START
#Story,STORY
#Option,OPTION
#Sponsor,SPONSOR
#Save,SAVE
#Load,LOAD
#Config,OPTION
#Sound,SOUND
#ToTitle,TO TITLE
#Empty,EMPTY
#Back,BACK
#Exit,EXIT
#FullScreen,FULL SCREEN
#Window,WINDOW
#Special,ENTER CODE
#AutoSave,AutoSave
#Free_Mode,FreeMode
#Master_Volume,MASTER VOLUME
#Music_Volume,MUSIC VOLUME
#Effects_Volume,EFFECTS VOLUME
#LanguageTitle,Language
#FrameText0,VSYNC ON
#FrameText1,VSYNC OFF
#FrameText2,LIMIT FPS 60
#FrameText3,LIMIT FPS 30

#EnterCode,Please enter pass code.

// Scroll
#Building,Underground Construction
#BuildingGround,Surface Construction
#Inventory,Inventory

// Room
#Room Effect,Room Effect
#Demolish,Demolish

#Time Limit Text,Time limit:<BR>{0}/{1}days ({2}/{3}sec)
#EventTimeText,{0:0.0}day
#Payment_Text,Repayments {0}/{1}
#MarketRate,Market price {0}%

#First Page,First page
#Middle Page,{0} page
#Last Page,Last page

#MentalityText,Health <color=#8888FF>{0}/{1}</color>
#MaxMentalityText,{0}<BR>Max Health <color=#8888FF>{1}</color>
#Sex Count Text,Sex Experiences <color=#8888FF>{0}</color>
#Virgin,<color=#8888FF>Virgin</color>
#Birth Count Text,Birth Experiences <color=#8888FF>{0}</color>
#Max Birth Count Text,Maximum Births <color=#8888FF>{0}</color>
#Venereal Disease Resistance Text,STD Resistance <color=#8888FF>{0}%</color>
#Conception Rate Text,Conception Chance <color=#8888FF>{0}%</color>
#Conception Rate Text2,Conception Chance <color=#8888FF>{0}%</color><color=#88FF88>+{1}%</color>
#Market Value Text,<sprite index=1> {0} ▶ <color=#8888FF>{1}</color>
#SellingPrice,<sprite index=1> {0}
#Buying Price,<sprite index=1> {0}
#Exchange Gold For Food,<sprite index=1> {0} ▶ <sprite index=0> 100
#Exchange Gold For Mana,<sprite index=1> {0} ▶ <sprite index=2> 100
#Changing Appearance Capsule Current Progress,Completion Progress:<BR>{0} / {1}
#Changing Appearance Capsule Complete Progress,Completed
#Maintenance Cost Value,<sprite index=0><color=#8888FF>{0}G</color> maintenance / day
#Hunger_Text,{0}<BR><sprite index=0><color=#8888FF>{0}G</color> maintenance / day
#Decay,It's decaying.

// Warning
#Full_Shelf,The shelf is full.
#No_Cosmetic_Pill,There is no cosmetic potion that you can buy.
#Payment_failure_Text,Couldn't meet the payment.
#Cannot_Demolish_Text,Can't be demolished.
#Lack_of_gold,Not enough Gold.
#No_Gold,Not enough Gold.
#No_Point,Not enough Points.
#Cannot_Sell,Can't sell.
#No_Seat,No empty space.
#No_Baby,Not a baby.
#No_Adult,Not an adult.
#No_Corpse,Not a corpse.
#No_NewbornBaby,Not a newborn baby.
#Full_Room,Room is full.
#Cannot_Build,Cannot be used for building.
#No_Pregnant,Not pregnant.
#No_BreedingRoom,Not a Breeding Room.
#Cannot_Allocate,Can't be placed.
#Cannot_Allocate_Yet,Can't place yet.
#Cannot_Allocate_Corpse,Corpse can't be placed.
#No_Female_Slave_Cage,Slaves were released because there were no Slave Cages.
#No_Monster_Cage,Monster were released because there were no Monster Cages.
#EnteredCode,This code has already been entered.
#No_Monster,Not a monster.
#No_Slave,Not a slave.
#Not_Character,Not a slave or monster.
#Already_Been_Applied,This effect has already been applied.
#No_Elf,Not an Elf.
#No_Unit,No slaves or monsters.
#Not_Your_Slave,Not your slave.
#Not_Your_Monster,Not your monster.
#Not_Apply,Doesn't apply.
#Not_Yet,Not available yet.
#No_Tattoo,No Tattoo.
#Full_Health,Full Health.
#Remove_Tattoo,Remove Tattoo.
#Recover_Health,Recover Health.
#Full_Milk,Full Milk.
#Recover_Milk,Give max Milk.
#No_Venereal_Disease,No STD.
#Recover_Venereal_Disease,Cure STD.
#Recover_Birth_Count,Reset Birth Count.
#NoMoveBirth,Cannot move during birth.
#Already_Upgraded,It's already upgraded.
#No_Achievement_Point,Not enough Points.
#Not_Milk_NewbornBaby,Newborn babies cannot be fed breast milk.
#No_Dna,No DNA.
#No_Upgraded,You need to upgrade.
#No_Cage,There are no cages to move.
#NotMovePlayer,The player cannot be moved.
#UnableToTurnOffPaymentList,You cannot turn off the payment list on the payment day.
#NoRepay,Not enough money to repay.
#WarningGameOver,You currently have a debt. Amilia will not tolerate this, so you have no choice but to borrow money.
#IsCustomizing,Only one production is possible at a time.
#No_Product_In_Market,There are no products in the market.
#No_Save,Failed to save.
#No_Dismantling,Cannot be dismantled.
#No_Sell_Player,Player cannot be sold.
#Can_Only_Upgrade_Day,You can only upgrade at day.
#Can_Only_Upgrade_Night,You can only upgrade at night.
#No_Sex,They can't crossbreed.

// LogMessage
#LogMessage_Dead,Slave (<color=#E07369>{0}</color>) is dead.
#LogMessage_Dead_bady,Baby (<color=#E07369>{0}</color>) is dead.
#LogMessage_Slave_Venereal_Disease,Slave (<color=#E07369>{0}</color>) has an STD.
#LogMessage_Monster_Venereal_Disease,Monster (<color=#E07369>{0}</color>) has an STD.
#LogMessage_Client_Venereal_Disease,Client (<color=#E07369>{0}</color>) has an STD.
#LogMessage_Infected,Room (<color=#E07369>{0}</color>) is contaminated.
#LogMessage_Customize,Production of <color=#63E057>{0}</color> is completed.
#Number_Of_Name,{0} {1}x
#Be_Pregnant,{0} is pregnant.
#Give_Birth,{0} has given birth.
#Have_Venereal_Disease,{0} has an STD.
#Be_Infertile,{0} is now sterile.

// Amilia
#Not_Now,Not now.
#Not_Day,Come again during the day.
#Not_Night,Come again during the night.
#Not_Need,That's not what I want now.
#Good,Good.
#Today_Market_Rate,Today's market prices.
#Not_Need_Corpse,I don't accept corpses.
#Market_Value_Text,Do you want to see the market prices?
#Dispose_Corpse,Corpse disposal is <sprite index=1> {0} per body.
#DisposeInfertileMonster,Useless monster disposal is <sprite index=1> {0} per body.
#Low_Price,Are you selling low? Good for me.
#Middle_Price,Thank you, as always~
#High_Price,...That's a pretty high price.
#DragAndDrop,<color=#8888FF>Drag&Drop</color> please.

// UI
Day{0},{0}Day
{0}Day,{0}Day
{0:0.0}Day,{0:0.0}Day
#MonsterPrice,Monster Price
#SlavePrice,Slave Price
#GoblinPrice,Goblin
#Button_Close,Close
#Button_OK,OK
#CardName,{0}{1}Number
#GoldText,Gold
#PaymentText,Payment
#PaymentDayText,Repayment Day
#DayText,{0} day
#WorkforceText,Get 1 in {0} seconds.
#MarketRateLabel,Market Prices
#SellText,Sell
#CallMonsterText,Refresh Stock
#CallSlaveText,Call Slave
#WindowDemolitionTitle,Demolition
#WindowDemolitionText,Are you sure you want to demolish it?
#Button_Yes,Yes
#Button_No,No
#CancelConstruction,Cancel Construction
#ReputationText,Repute Lv.{0}
#WarehouseTitle,Warehouse
#FloraActionButton,Dismantle

#SlaveTitText0,Flat Tits
#SlaveTitText1,Small Tits
#SlaveTitText2,Average Tits
#SlaveTitText3,Large Tits
#SlaveTitText4,Huge Tits
#SlaveTitText5,Cow Tits

#MonsterBodyText1,Good
#MonsterBodyText2,Bad

#MonsterPenisText1,Small
#MonsterPenisText2,Big

#MonsterBallText1,Small
#MonsterBallText2,Big

#Input_Name,Input name, please.
#Input_PlayerName,Input player's name, please.
#Input_EstateName,Input estate's name, please.

// Status
#Name,Name
#Race,Race
#Family_Tree,Family Tree
#Current_State,Current State
#GrowthState,Growth State
#Sterility,Sterile
#ErectileDysfunction,Impotent
#Eunuch,Eunuch
#Hunger,Hungry
#Venereal Disease,STD
#Venereal_Disease,STD
#Food_Consumption,Maintenance Cost (d)
#Conception_Rate,Conception Chance
#HungerValue,Health Loss / Hunger (d)
#MentalityConsumedDuringPregnancy,Health Loss / Pregnancy (s)
